cache size || block size || associative || d-miss rate || i-miss rate || mem write
LRU     1024	      16	       1	0.1335	0.0937	    1177
Random     1024	      16	       1	0.1335	0.0937	    1177
LRU     1024	      16	       2	0.0596	0.0941	     531
Random     1024	      16	       2	0.2422	0.1411	    2135
LRU     1024	      16	       4	0.0482	0.0790	     398
Random     1024	      16	       4	0.3264	0.1705	    2973
LRU     1024	      16	       8	0.0467	0.0776	     379
Random     1024	      16	       8	0.4363	0.1882	    3673
LRU     1024	      64	       1	0.1378	0.0521	    1305
Random     1024	      64	       1	0.1378	0.0521	    1305
LRU     1024	      64	       2	0.0662	0.0536	     674
Random     1024	      64	       2	0.2657	0.0726	    2427
LRU     1024	      64	       4	0.0504	0.0438	     489
Random     1024	      64	       4	0.3464	0.0913	    2947
LRU     1024	      64	       8	0.0503	0.0451	     430
Random     1024	      64	       8	0.5174	0.1180	    3770
LRU     2048	      16	       1	0.0445	0.0583	     315
Random     2048	      16	       1	0.0445	0.0583	     315
LRU     2048	      16	       2	0.0362	0.0527	     253
Random     2048	      16	       2	0.1335	0.0937	    1177
LRU     2048	      16	       4	0.0359	0.0398	     253
Random     2048	      16	       4	0.2422	0.1411	    2135
LRU     2048	      16	       8	0.0353	0.0378	     241
Random     2048	      16	       8	0.3264	0.1705	    2973
LRU     2048	      64	       1	0.0314	0.0353	     220
Random     2048	      64	       1	0.0314	0.0353	     220
LRU     2048	      64	       2	0.0250	0.0305	     183
Random     2048	      64	       2	0.1378	0.0521	    1305
LRU     2048	      64	       4	0.0234	0.0247	     170
Random     2048	      64	       4	0.2657	0.0726	    2427
LRU     2048	      64	       8	0.0193	0.0216	     126
Random     2048	      64	       8	0.3277	0.0907	    2799
LRU     4096	      16	       1	0.0310	0.0421	     152
Random     4096	      16	       1	0.0310	0.0421	     152
LRU     4096	      16	       2	0.0214	0.0294	      87
Random     4096	      16	       2	0.0445	0.0583	     315
LRU     4096	      16	       4	0.0172	0.0272	      56
Random     4096	      16	       4	0.1335	0.0937	    1177
LRU     4096	      16	       8	0.0165	0.0275	      49
Random     4096	      16	       8	0.2422	0.1411	    2135
LRU     4096	      64	       1	0.0229	0.0200	     151
Random     4096	      64	       1	0.0229	0.0200	     151
LRU     4096	      64	       2	0.0135	0.0150	      69
Random     4096	      64	       2	0.0314	0.0353	     220
LRU     4096	      64	       4	0.0144	0.0109	      78
Random     4096	      64	       4	0.1378	0.0521	    1305
LRU     4096	      64	       8	0.0137	0.0111	      81
Random     4096	      64	       8	0.2657	0.0726	    2427
LRU     8192	      16	       1	0.0229	0.0249	      77
Random     8192	      16	       1	0.0229	0.0249	      77
LRU     8192	      16	       2	0.0162	0.0210	      19
Random     8192	      16	       2	0.0310	0.0421	     152
LRU     8192	      16	       4	0.0145	0.0188	       4
Random     8192	      16	       4	0.0445	0.0583	     315
LRU     8192	      16	       8	0.0145	0.0195	       3
Random     8192	      16	       8	0.1335	0.0937	    1177
LRU     8192	      64	       1	0.0144	0.0116	      79
Random     8192	      64	       1	0.0144	0.0116	      79
LRU     8192	      64	       2	0.0077	0.0096	      19
Random     8192	      64	       2	0.0229	0.0200	     151
LRU     8192	      64	       4	0.0062	0.0081	      11
Random     8192	      64	       4	0.0314	0.0353	     220
LRU     8192	      64	       8	0.0057	0.0082	       3
Random     8192	      64	       8	0.1378	0.0521	    1305
LRU    16384	      16	       1	0.0172	0.0158	      36
Random    16384	      16	       1	0.0172	0.0158	      36
LRU    16384	      16	       2	0.0150	0.0131	       9
Random    16384	      16	       2	0.0229	0.0249	      77
LRU    16384	      16	       4	0.0145	0.0102	       0
Random    16384	      16	       4	0.0310	0.0421	     152
LRU    16384	      16	       8	0.0145	0.0093	       0
Random    16384	      16	       8	0.0445	0.0583	     315
LRU    16384	      64	       1	0.0075	0.0068	      24
Random    16384	      64	       1	0.0075	0.0068	      24
LRU    16384	      64	       2	0.0063	0.0055	       9
Random    16384	      64	       2	0.0144	0.0116	      79
LRU    16384	      64	       4	0.0057	0.0043	       0
Random    16384	      64	       4	0.0229	0.0200	     151
LRU    16384	      64	       8	0.0057	0.0041	       0
Random    16384	      64	       8	0.0314	0.0353	     220
